trump,142100
president,24618
stormy,15817
trump's,15454
daniels,14525
says,13295
know,12541
border,12361
donald,11041
national,10974
guard,10429
house,9544
china,9152
tariffs,9075
breaking,8500
people,8351
billion,8163
white,8140
back,7752
could,7541
mexico,7341
pruitt,7008
payment,6779
news,6693
today,6598
trade,6566
cohen,6340
additional,5970
troops,5743
michael,5694
