Word	Freq
people,twitter	1
please,two	2
people,could	3
times,see	4
people,two	5
facebook,day	6
people,many	7
facebook,see	8
people,please	9
said,twitter	10
times,twitter	11
said,could	12
times,could	13
said,many	14
times,many	15
times,two	16
said,two	17
facebook,could	18
facebook,many	19
facebook,two	20
said,please	21
facebook,twitter	22
people,times	23
said,people	24
facebook,please	25
people,facebook	26
times,please	27
said,times	28
said,facebook	29
facebook,times	30
