Word	Freq
michael	1
troops	2
additional	3
cohen	4
trade	5
today	6
news	7
payment	8
pruitt	9
mexico	10
could	11
back	12
white	13
billion	14
people	15
breaking	16
tariffs	17
china	18
house	19
guard	20
national	21
donald	22
border	23
know	24
says	25
daniels	26
trump's	27
stormy	28
president	29
trump	30
