Word	Freq
said    41921
mr      34077
new     32149
york    20325
one     18132
like    17142
people  16478
facebook	15584
times	15104
would   14707
also    11478
us      11410
trump   10593
ms      10389
page    10116
think   10110
time    9586
please  8962
many    8760
could   8738
years   8599
year    8511
see     8362
two     8285
company 8223
first   8092
last    8055
get     7776
twitter 7513
president       7475
