Word	Freq
india   171364
kashmir 30316
indian  17741
top     17020
countries       15410
part    14305
pm      14149
brazil  13449
always  12910
korea   12831
congress        12806
land    12762
born    12240
integral        11824
remain  11786
ho      11704
forefathers     11528
pious   11349
indonesia       10816
india's 9733
people  9057
govt    8292
pakistan        8153
modi    8006
argentina       7512
best    7476
u       7098
news    7087
kst     7066
today   7020
