Word	Freq
trump   12442
said    11716
president       6778
u       4301
states  3712
united  3558
house   3126
trade   3113
times   3027
people  2924
could   2807
white   2733
china   2701
please  2700
american        2687
state   2541
north   2541
administration  2374
percent 2256
washington      2081
two     2056
korea   2015
tariffs 1999
tell    1836
officials       1810
newsletter      1781
national        1760
must    1741
email   1730
government      1704
