Word	Freq
facebook        239873
rt      181828
financial       55052
aid     54897
amp     36169
man     34430
data    34029
much    29521
office  28699
stole   27644
howard  27485
tyrone  27455
hankerson       27330
student-employee        27288
video   23257
live    21394
please  21067
twitter 19592
i'm     19014
love    17894
news    17006
google  16558
want    16083
information     16034
posted  15595
people  14486
cambridge       14305
today   14075
analytica       13822
help    13768
